name,link,min_salary,max_salary,currency,employer,source
"Full-stack разработчик (Python, JavaScript)",https://hh.ru/vacancy/38088239?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,70000,180000,руб.,Tevian (ООО Технологии видеоанализа),hh.ru
Программист Python,https://hh.ru/vacancy/38429768?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,70000,,руб.,TrueConf,hh.ru
Python Developer,https://hh.ru/vacancy/39018762?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,200000,руб.,ООО Аврора Инфинити,hh.ru
Разработчик Python,https://hh.ru/vacancy/38399892?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,ИТЕРАНЕТ,hh.ru
Разработчик Python,https://hh.ru/vacancy/35871016?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,ООО НТ Прогресс,hh.ru
Front-end разработчик (Python/django),https://hh.ru/vacancy/38931639?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,М.Видео-Эльдорадо. Офис,hh.ru
Ведущий программист Python,https://hh.ru/vacancy/36618179?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,ООО ФК ПУЛЬС,hh.ru
Senior Python Developer,https://hh.ru/vacancy/38524129?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,350000,руб.,Дикая Роза,hh.ru
Python-разработчик,https://hh.ru/vacancy/38727339?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,ЗАО Фонд стратегического развития энергетики Форсайт,hh.ru
Программист Python (Django),https://hh.ru/vacancy/39018086?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,ООО ИК СИБИНТЕК,hh.ru
Python разработчик,https://hh.ru/vacancy/38959785?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,SOKOLOV,hh.ru
Python - разработчик,https://hh.ru/vacancy/38813121?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,"DataLine, Компания",hh.ru
Программист по созданию и ведению обучающего курса по Python,https://hh.ru/vacancy/36906276?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,150000,,руб.,"Profi-internet, школа востребованных интернет-профессий",hh.ru
Backend программист (Python),https://hh.ru/vacancy/38845851?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,Электронная торговая площадка Газпромбанка,hh.ru
CG программист (Python/C++),https://hh.ru/vacancy/26680990?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,Группа компаний «Триумф»,hh.ru
Python Django разработчик,https://hh.ru/vacancy/39020203?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,ООО Юником,hh.ru
Python Backend Developer,https://hh.ru/vacancy/35467949?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,Admitad,hh.ru
Инженер по автоматизации тестирования / Python разработчик,https://hh.ru/vacancy/37169502?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,ООО Основа Лаб,hh.ru
Python developer,https://hh.ru/vacancy/37609721?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,Admitad,hh.ru
